SMAP_L3_SM_P_E_20150528_R17000_001.soil_moisture,SPL3SMP_E,A2015148,Lat13.474722Lon30.806389Samp1Line1,2021145224605,0.02000004,0.021231694,0.01999998,0.020040099,0.025485037,0.023285352,0.025314266,0.030474396,0.028965386
SMAP_L3_SM_P_E_20150529_R17000_001.soil_moisture,SPL3SMP_E,A2015149,Lat13.474722Lon30.806389Samp1Line1,2021145224606,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150530_R17000_001.soil_moisture,SPL3SMP_E,A2015150,Lat13.474722Lon30.806389Samp1Line1,2021145224606,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150531_R17000_001.soil_moisture,SPL3SMP_E,A2015151,Lat13.474722Lon30.806389Samp1Line1,2021145224606,0.029732835,0.031322405,0.01999998,0.029565925,0.026293145,0.024712954,0.026754752,0.022106485,0.028690873
SMAP_L3_SM_P_E_20150601_R17000_002.soil_moisture,SPL3SMP_E,A2015152,Lat13.474722Lon30.806389Samp1Line1,2021145224607,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150602_R17000_001.soil_moisture,SPL3SMP_E,A2015153,Lat13.474722Lon30.806389Samp1Line1,2021145224607,0.04654812,0.045946874,0.05046734,0.052468225,0.05387051,0.04749866,0.050019093,0.053748384,0.045314062
SMAP_L3_SM_P_E_20150603_R17000_001.soil_moisture,SPL3SMP_E,A2015154,Lat13.474722Lon30.806389Samp1Line1,2021145224608,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150604_R17000_001.soil_moisture,SPL3SMP_E,A2015155,Lat13.474722Lon30.806389Samp1Line1,2021145224608,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150605_R17000_001.soil_moisture,SPL3SMP_E,A2015156,Lat13.474722Lon30.806389Samp1Line1,2021145224609,0.028230898,0.031061871,0.01999998,0.02867527,0.03427117,0.02000001,0.028167376,0.03612835,0.022465546
SMAP_L3_SM_P_E_20150606_R17000_001.soil_moisture,SPL3SMP_E,A2015157,Lat13.474722Lon30.806389Samp1Line1,2021145224609,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150607_R17000_001.soil_moisture,SPL3SMP_E,A2015158,Lat13.474722Lon30.806389Samp1Line1,2021145224609,F,F,F,F,F,F,F,F,F
SMAP_L3_SM_P_E_20150608_R17000_001.soil_moisture,SPL3SMP_E,A2015159,Lat13.474722Lon30.806389Samp1Line1,2021145224610,0.022223767,0.02000001,0.01999998,0.020346412,0.02000001,0.02000001,0.023455998,0.02000004,0.02000001
SMAP_L3_SM_P_E_20150609_R17000_001.soil_moisture,SPL3SMP_E,A2015160,Lat13.474722Lon30.806389Samp1Line1,2021145224611,F,F,F,F,F,F,F,F,F
